"sample_id","replicate","condition","time_point","time_h","suspension","soil_origin","cond_rep","Compound_name","uM"
"BD_03D","D","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_D","AMPO_d3",NA
"Lo_05A","A","S_DIMBOA",5,1,"soil","S","S_DIMBOA_A","DIMBOA_d3",2.318551402
"Lo_05A","A","S_DIMBOA",5,1,"soil","S","S_DIMBOA_A","MBOA_d3",8.255428669
"Lo_05A","A","S_DIMBOA",5,1,"soil","S","S_DIMBOA_A","AMPO_d3",NA
"BD_05A","A","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_A","DIMBOA_d3",137.5352243
"BD_05A","A","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",5.956525151
"BD_05A","A","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"Hi_05B","B","N_DIMBOA",5,1,"soil","N","N_DIMBOA_B","DIMBOA_d3",1.43003271
"Hi_05B","B","N_DIMBOA",5,1,"soil","N","N_DIMBOA_B","MBOA_d3",13.80604444
"Hi_05B","B","N_DIMBOA",5,1,"soil","N","N_DIMBOA_B","AMPO_d3",0.088346939
"Lo_05B","B","S_DIMBOA",5,1,"soil","S","S_DIMBOA_B","DIMBOA_d3",0.569523364
"Lo_05B","B","S_DIMBOA",5,1,"soil","S","S_DIMBOA_B","MBOA_d3",9.682551159
"Lo_05B","B","S_DIMBOA",5,1,"soil","S","S_DIMBOA_B","AMPO_d3",0.028542857
"BD_05B","B","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",125.0850701
"BD_05B","B","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",5.602920984
"BD_05B","B","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"Hi_05C","C","N_DIMBOA",5,1,"soil","N","N_DIMBOA_C","DIMBOA_d3",0.507280374
"Hi_05C","C","N_DIMBOA",5,1,"soil","N","N_DIMBOA_C","MBOA_d3",15.1375874
"Hi_05C","C","N_DIMBOA",5,1,"soil","N","N_DIMBOA_C","AMPO_d3",0.076114286
"Lo_05C","C","S_DIMBOA",5,1,"soil","S","S_DIMBOA_C","DIMBOA_d3",1.257308411
"Lo_05C","C","S_DIMBOA",5,1,"soil","S","S_DIMBOA_C","MBOA_d3",11.93855866
"Lo_05C","C","S_DIMBOA",5,1,"soil","S","S_DIMBOA_C","AMPO_d3",0.028542857
"BD_05C","C","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_C","DIMBOA_d3",124.6182477
"BD_05C","C","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_C","MBOA_d3",5.467315406
"BD_05C","C","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_C","AMPO_d3",NA
"Hi_05D","D","N_DIMBOA",5,1,"soil","N","N_DIMBOA_D","DIMBOA_d3",0.572635514
"Hi_05D","D","N_DIMBOA",5,1,"soil","N","N_DIMBOA_D","MBOA_d3",17.10171082
"Hi_05D","D","N_DIMBOA",5,1,"soil","N","N_DIMBOA_D","AMPO_d3",0.082910204
"Lo_05D","D","S_DIMBOA",5,1,"soil","S","S_DIMBOA_D","DIMBOA_d3",0.673780374
"Lo_05D","D","S_DIMBOA",5,1,"soil","S","S_DIMBOA_D","MBOA_d3",10.77140066
"Lo_05D","D","S_DIMBOA",5,1,"soil","S","S_DIMBOA_D","AMPO_d3",0.028542857
"BD_05D","D","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_D","DIMBOA_d3",117.3684953
"BD_05D","D","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_D","MBOA_d3",5.328643592
"BD_05D","D","buffer_DIMBOA",5,1,"buffer",NA,"buffer_DIMBOA_D","AMPO_d3",NA
"Lo_06A","A","S_DIMBOA",6,4,"soil","S","S_DIMBOA_A","DIMBOA_d3",1.789485981
"Lo_06A","A","S_DIMBOA",6,4,"soil","S","S_DIMBOA_A","MBOA_d3",11.95692763
"Lo_06A","A","S_DIMBOA",6,4,"soil","S","S_DIMBOA_A","AMPO_d3",0.028542857
"BD_06A","A","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_A","DIMBOA_d3",118.7845234
"BD_06A","A","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",13.67397727
"BD_06A","A","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"Hi_06B","B","N_DIMBOA",6,4,"soil","N","N_DIMBOA_B","DIMBOA_d3",0.547738318
"Hi_06B","B","N_DIMBOA",6,4,"soil","N","N_DIMBOA_B","MBOA_d3",6.21898701
"Hi_06B","B","N_DIMBOA",6,4,"soil","N","N_DIMBOA_B","AMPO_d3",0.201159184
"Lo_06B","B","S_DIMBOA",6,4,"soil","S","S_DIMBOA_B","DIMBOA_d3",0.351672897
"Lo_06B","B","S_DIMBOA",6,4,"soil","S","S_DIMBOA_B","MBOA_d3",12.42985617
"Lo_06B","B","S_DIMBOA",6,4,"soil","S","S_DIMBOA_B","AMPO_d3",0.031261224
"BD_06B","B","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",108.9205654
"BD_06B","B","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",12.23477187
"BD_06B","B","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"Hi_06C","C","N_DIMBOA",6,4,"soil","N","N_DIMBOA_C","DIMBOA_d3",0.119817757
"Hi_06C","C","N_DIMBOA",6,4,"soil","N","N_DIMBOA_C","MBOA_d3",10.08759869
"Hi_06C","C","N_DIMBOA",6,4,"soil","N","N_DIMBOA_C","AMPO_d3",0.146791837
"Lo_06C","C","S_DIMBOA",6,4,"soil","S","S_DIMBOA_C","DIMBOA_d3",0.469934579
"Lo_06C","C","S_DIMBOA",6,4,"soil","S","S_DIMBOA_C","MBOA_d3",12.19890715
"Lo_06C","C","S_DIMBOA",6,4,"soil","S","S_DIMBOA_C","AMPO_d3",0.029902041
"BD_06C","C","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_C","DIMBOA_d3",105.5127617
"BD_06C","C","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_C","MBOA_d3",12.02595492
"BD_06C","C","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_C","AMPO_d3",NA
"Hi_06D","D","N_DIMBOA",6,4,"soil","N","N_DIMBOA_D","DIMBOA_d3",0.188285047
"Hi_06D","D","N_DIMBOA",6,4,"soil","N","N_DIMBOA_D","MBOA_d3",13.88371863
"Hi_06D","D","N_DIMBOA",6,4,"soil","N","N_DIMBOA_D","AMPO_d3",0.221546939
"Lo_06D","D","S_DIMBOA",6,4,"soil","S","S_DIMBOA_D","DIMBOA_d3",0.399911215
"Lo_06D","D","S_DIMBOA",6,4,"soil","S","S_DIMBOA_D","MBOA_d3",12.50742797
"Lo_06D","D","S_DIMBOA",6,4,"soil","S","S_DIMBOA_D","AMPO_d3",0.029902041
"BD_06D","D","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_D","DIMBOA_d3",101.5136495
"BD_06D","D","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_D","MBOA_d3",11.80416478
"BD_06D","D","buffer_DIMBOA",6,4,"buffer",NA,"buffer_DIMBOA_D","AMPO_d3",NA
"Lo_08A","A","S_DIMBOA",8,24,"soil","S","S_DIMBOA_A","DIMBOA_d3",0.476158879
"Lo_08A","A","S_DIMBOA",8,24,"soil","S","S_DIMBOA_A","MBOA_d3",7.323227428
"Lo_08A","A","S_DIMBOA",8,24,"soil","S","S_DIMBOA_A","AMPO_d3",0.252808163
"BD_08A","A","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_A","DIMBOA_d3",19.4991729
"BD_08A","A","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",68.89289009
"BD_08A","A","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"Hi_08B","B","N_DIMBOA",8,24,"soil","N","N_DIMBOA_B","DIMBOA_d3",NA
"Hi_08B","B","N_DIMBOA",8,24,"soil","N","N_DIMBOA_B","MBOA_d3",0.860238553
"Hi_08B","B","N_DIMBOA",8,24,"soil","N","N_DIMBOA_B","AMPO_d3",0.365620408
"Lo_08B","B","S_DIMBOA",8,24,"soil","S","S_DIMBOA_B","DIMBOA_d3",NA
"Lo_08B","B","S_DIMBOA",8,24,"soil","S","S_DIMBOA_B","MBOA_d3",10.08587785
"Lo_08B","B","S_DIMBOA",8,24,"soil","S","S_DIMBOA_B","AMPO_d3",0.035338776
"BD_08B","B","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",19.04324299
"BD_08B","B","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",67.79345668
"BD_08B","B","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"Hi_08C","C","N_DIMBOA",8,24,"soil","N","N_DIMBOA_C","DIMBOA_d3",NA
"Hi_08C","C","N_DIMBOA",8,24,"soil","N","N_DIMBOA_C","MBOA_d3",0.596360196
"Hi_08C","C","N_DIMBOA",8,24,"soil","N","N_DIMBOA_C","AMPO_d3",0.167179592
"Lo_08C","C","S_DIMBOA",8,24,"soil","S","S_DIMBOA_C","DIMBOA_d3",NA
"Lo_08C","C","S_DIMBOA",8,24,"soil","S","S_DIMBOA_C","MBOA_d3",7.906614429
"Lo_08C","C","S_DIMBOA",8,24,"soil","S","S_DIMBOA_C","AMPO_d3",0.031261224
"BD_08C","C","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_C","DIMBOA_d3",15.83928505
"BD_08C","C","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_C","MBOA_d3",59.31941787
"BD_08C","C","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_C","AMPO_d3",NA
"Hi_08D","D","N_DIMBOA",8,24,"soil","N","N_DIMBOA_D","DIMBOA_d3",NA
"Hi_08D","D","N_DIMBOA",8,24,"soil","N","N_DIMBOA_D","MBOA_d3",0.927604731
"Hi_08D","D","N_DIMBOA",8,24,"soil","N","N_DIMBOA_D","AMPO_d3",0.327563265
"Lo_08D","D","S_DIMBOA",8,24,"soil","S","S_DIMBOA_D","DIMBOA_d3",NA
"Lo_08D","D","S_DIMBOA",8,24,"soil","S","S_DIMBOA_D","MBOA_d3",11.24115204
"Lo_08D","D","S_DIMBOA",8,24,"soil","S","S_DIMBOA_D","AMPO_d3",0.036697959
"BD_08D","D","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_D","DIMBOA_d3",15.32266822
"BD_08D","D","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_D","MBOA_d3",59.6544056
"BD_08D","D","buffer_DIMBOA",8,24,"buffer",NA,"buffer_DIMBOA_D","AMPO_d3",NA
"Lo_10A","A","S_DIMBOA",10,96,"soil","S","S_DIMBOA_A","DIMBOA_d3",NA
"Lo_10A","A","S_DIMBOA",10,96,"soil","S","S_DIMBOA_A","MBOA_d3",0.122635228
"Lo_10A","A","S_DIMBOA",10,96,"soil","S","S_DIMBOA_A","AMPO_d3",0.039416327
"BD_10A","A","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_A","DIMBOA_d3",NA
"BD_10A","A","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",78.05456793
"BD_10A","A","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"BC_10A","A","buffer_control",10,96,"buffer",NA,"buffer_control_A","DIMBOA_d3",NA
"BC_10A","A","buffer_control",10,96,"buffer",NA,"buffer_control_A","MBOA_d3",NA
"BC_10A","A","buffer_control",10,96,"buffer",NA,"buffer_control_A","AMPO_d3",NA
"Hi_10B","B","N_DIMBOA",10,96,"soil","N","N_DIMBOA_B","DIMBOA_d3",NA
"Hi_10B","B","N_DIMBOA",10,96,"soil","N","N_DIMBOA_B","MBOA_d3",0.075173987
"Hi_10B","B","N_DIMBOA",10,96,"soil","N","N_DIMBOA_B","AMPO_d3",0.405036735
"Lo_10B","B","S_DIMBOA",10,96,"soil","S","S_DIMBOA_B","DIMBOA_d3",NA
"Lo_10B","B","S_DIMBOA",10,96,"soil","S","S_DIMBOA_B","MBOA_d3",0.582007479
"Lo_10B","B","S_DIMBOA",10,96,"soil","S","S_DIMBOA_B","AMPO_d3",0.047571429
"BD_10B","B","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",NA
"BD_10B","B","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",66.55856842
"BD_10B","B","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"BC_10B","B","buffer_control",10,96,"buffer",NA,"buffer_control_B","DIMBOA_d3",NA
"BC_10B","B","buffer_control",10,96,"buffer",NA,"buffer_control_B","MBOA_d3",NA
"BC_10B","B","buffer_control",10,96,"buffer",NA,"buffer_control_B","AMPO_d3",NA
"Hi_10C","C","N_DIMBOA",10,96,"soil","N","N_DIMBOA_C","DIMBOA_d3",NA
"Hi_10C","C","N_DIMBOA",10,96,"soil","N","N_DIMBOA_C","MBOA_d3",0.061461255
"Hi_10C","C","N_DIMBOA",10,96,"soil","N","N_DIMBOA_C","AMPO_d3",0.188926531
"Lo_10C","C","S_DIMBOA",10,96,"soil","S","S_DIMBOA_C","DIMBOA_d3",NA
"Lo_10C","C","S_DIMBOA",10,96,"soil","S","S_DIMBOA_C","MBOA_d3",0.571136278
"Lo_10C","C","S_DIMBOA",10,96,"soil","S","S_DIMBOA_C","AMPO_d3",0.039416327
"BD_10C","C","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_C","DIMBOA_d3",NA
"BD_10C","C","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_C","MBOA_d3",71.19578997
"BD_10C","C","buffer_DIMBOA",10,96,"buffer",NA,"buffer_DIMBOA_C","AMPO_d3",NA
"BC_10C","C","buffer_control",10,96,"buffer",NA,"buffer_control_C","DIMBOA_d3",NA
"BC_10C","C","buffer_control",10,96,"buffer",NA,"buffer_control_C","MBOA_d3",NA
"BC_10C","C","buffer_control",10,96,"buffer",NA,"buffer_control_C","AMPO_d3",NA
"Hi_10D","D","N_DIMBOA",10,96,"soil","N","N_DIMBOA_D","DIMBOA_d3",NA
"Hi_10D","D","N_DIMBOA",10,96,"soil","N","N_DIMBOA_D","MBOA_d3",0.069209333
