"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
">ASV81"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Marasmiaceae"	"g__Marasmius"	"s__capillaris"
">ASV82"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Trichocomaceae"	"g__Thermomyces"	NA
">ASV83"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Coprinopsis"	NA
">ASV84"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
">ASV85"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__elongata"
">ASV86"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Chaetosphaeriales"	"f__Chaetosphaeriaceae"	"g__Chaetosphaeria"	"s__vermicularioides"
">ASV87"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiales_fam_Incertae_sedis"	NA	NA
">ASV88"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
">ASV89"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Coprinopsis"	"s__urticicola"
">ASV90"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV91"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Neosetophoma"	NA
">ASV92"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreaceae"	"g__Trichoderma"	NA
">ASV93"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Setophoma"	"s__terrestris"
">ASV94"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
">ASV95"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
">ASV96"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Setophoma"	"s__terrestris"
">ASV97"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV98"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
">ASV99"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	NA	NA
">ASV100"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Glarea"	NA
">ASV101"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Pleosporaceae"	"g__Alternaria"	"s__infectoria"
">ASV102"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Rhizoctonia"	NA
">ASV103"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	NA	NA	NA
">ASV104"	"k__Fungi"	"p__Mucoromycota"	"c__Mucoromycetes"	"o__Mucorales"	"f__Rhizopodaceae"	"g__Rhizopus"	"s__arrhizus"
">ASV105"	"k__Fungi"	"p__Basidiomycota"	NA	NA	NA	NA	NA
">ASV106"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Capnodiales"	"f__Mycosphaerellaceae"	"g__Septoria"	"s__cretae"
">ASV107"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Leotiaceae"	"g__Neobulgaria"	NA
">ASV108"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	NA
">ASV109"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Articulospora"	NA
">ASV110"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Didymosphaeriaceae"	"g__Pseudopithomyces"	NA
">ASV111"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Lachnum"	NA
">ASV112"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV113"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	NA	NA
">ASV114"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Microdochiaceae"	"g__Idriella"	NA
">ASV115"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
">ASV116"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	NA	NA
">ASV117"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Lentitheciaceae"	NA	NA
">ASV118"	"k__Fungi"	"p__Chytridiomycota"	"c__Spizellomycetes"	"o__Spizellomycetales"	"f__Powellomycetaceae"	"g__Powellomyces"	NA
">ASV119"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV120"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Sarocladium"	"s__zeae"
">ASV121"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	"f__Phaeosphaeriaceae"	"g__Ophiosphaerella"	"s__korrae"
">ASV122"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV123"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	NA	NA
">ASV124"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__elongata"
">ASV125"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	NA	NA
">ASV126"	"k__Fungi"	NA	NA	NA	NA	NA	NA
">ASV127"	"k__Fungi"	"p__Chytridiomycota"	"c__Spizellomycetes"	"o__Spizellomycetales"	"f__Spizellomycetaceae"	"g__Spizellomyces"	"s__lactosolyticus"
